# ts ed_beta5
# ts	ed_beta5
1.725	0.6014860365288797
1.7375	0.6159447632020503
1.75	0.6292318154169196
1.7625000000000002	0.6412521050200911
1.7750000000000001	0.6519199109279842
1.7875	0.6611595183767557
1.8	0.6689057835032027
1.8125	0.6751046191199873
1.8250000000000002	0.6797133981325189
1.8375000000000001	0.6827012716546734
1.85	0.6840493995113194
1.8625	0.6837510914631623
1.875	0.6818118581485642
1.8875000000000002	0.6782493714033117
1.9000000000000001	0.6730933342874275
1.9125	0.6663852618137207
1.925	0.6581781740303713
1.9375	0.6485362037551815
1.9500000000000002	0.6375341218870848
1.9625000000000001	0.6252567838266992
1.975	0.6117985011176459
1.9875	0.5972623429697966
2.0	0.5817593728405913
2.0125	0.565407825727251
2.025	0.5483322322576812
2.0375	0.5306624960580016
2.0500000000000003	0.512532931216956
2.0625	0.49408126695958865
2.075	0.4754476268824213
2.0875	0.45677349028805986
2.1	0.4382006432874979
2.1125000000000003	0.419870127412326
2.125	0.40192119349619443
2.1375	0.38449026854495033
2.15	0.3677099432183677
2.1625	0.3517079873938616
2.1750000000000003	0.3366064010753192
2.1875	0.32252050764955936
2.2	0.3095580961810664
2.2125	0.2978186190746042
2.225	0.2873924510279797
2.2375000000000003	0.27836021474641065
2.25	0.2707921783990795
2.2625	0.2647477292710993
2.275	0.26027492750407366
2.2875	0.25741014322997036
2.3000000000000003	0.2561777797902606
2.3125	0.25659008509988324
2.325	0.25864705256806136
2.3375	0.2623364123301255
2.35	0.26763371288117704
2.3625000000000003	0.274502492538355
2.375	0.2828945394986227
2.3875	0.2927502386082323
2.4000000000000004	0.303999002322943
2.4125	0.31655978271953145
2.4250000000000003	0.3303416608235759
2.4375	0.34524450895015885
2.45	0.3611597212174691
2.4625000000000004	0.37797100689187163
2.475	0.3955552407608019
2.4875000000000003	0.4137833643100626
2.5	0.43252133110784274
